checkpoint_steps,velocity_mae,contact_match,resets,score
500000,0.1028163945694921,0.4914285714285714,1,0.47995925171234927
1000000,0.09112693724660242,0.4859523809523809,0,0.2196388420085072
1500000,0.10106905727033405,0.499047619047619,3,0.9763071525084293
2000000,0.09766574026086473,0.4957142857142857,2,0.7237371688322933
2500000,0.07381272855477367,0.4897619047619048,1,0.45137225236429745
3000000,0.08022683193093949,0.48095238095238096,1,0.45998873669284424
3500000,0.08679397869764109,0.49357142857142855,2,0.713401121554784
4000000,0.10166875561139065,0.4897619047619048,5,1.4792282794209144
4500000,0.0764780005231668,0.48523809523809525,0,0.205168476713643
5000000,0.09521502691760364,0.48547619047619045,2,0.7238459792985561
