tag,step,wall_time,value
rollout/ep_len_mean,32768,1783861778.685910,681.5714111
rollout/ep_len_mean,65536,1783861783.756097,761.9493408
rollout/ep_len_mean,98304,1783861788.783883,781
rollout/ep_len_mean,131072,1783861793.795028,801.1599731
rollout/ep_len_mean,163840,1783861798.854650,795.5499878
rollout/ep_len_mean,196608,1783861803.858574,803.1400146
rollout/ep_len_mean,229376,1783861808.881715,802.6500244
rollout/ep_len_mean,262144,1783861813.865321,819.2000122
rollout/ep_len_mean,294912,1783861818.869124,832.5300293
rollout/ep_len_mean,327680,1783861823.870694,806.039978
rollout/ep_len_mean,360448,1783861828.878821,747.539978
rollout/ep_len_mean,393216,1783861833.887702,764.789978
rollout/ep_len_mean,425984,1783861838.984965,794.789978
rollout/ep_len_mean,458752,1783861844.011021,802.3699951
rollout/ep_len_mean,491520,1783861848.922629,806.9799805
rollout/ep_len_mean,524288,1783861854.129613,793.960022
rollout/ep_len_mean,557056,1783861859.292834,793.1099854
rollout/ep_len_mean,589824,1783861864.385579,825.6599731
rollout/ep_len_mean,622592,1783861869.445784,885.8699951
rollout/ep_len_mean,655360,1783861874.433731,882.7199707
rollout/ep_len_mean,688128,1783861879.404772,868.5
rollout/ep_len_mean,720896,1783861884.341929,846.8099976
rollout/ep_len_mean,753664,1783861889.109382,810.0300293
rollout/ep_len_mean,786432,1783861893.870394,824.710022
rollout/ep_len_mean,819200,1783861898.535473,823.5499878
rollout/ep_len_mean,851968,1783861903.146912,832.1300049
rollout/ep_len_mean,884736,1783861908.041287,836.2999878
rollout/ep_len_mean,917504,1783861912.957110,843
rollout/ep_len_mean,950272,1783861917.876190,854.6500244
rollout/ep_len_mean,983040,1783861922.503706,867.8900146
rollout/ep_len_mean,1015808,1783861927.170502,912.4899902
rollout/ep_len_mean,1048576,1783861931.833035,890.4099731
rollout/ep_len_mean,1081344,1783861936.426838,867.3499756
rollout/ep_len_mean,1114112,1783861941.023003,853.7199707
rollout/ep_len_mean,1146880,1783861945.625479,870.3699951
rollout/ep_len_mean,1179648,1783861950.481058,909.210022
rollout/ep_len_mean,1212416,1783861955.257746,918.5900269
rollout/ep_len_mean,1245184,1783861959.950645,927.7700195
rollout/ep_len_mean,1277952,1783861964.862440,915.210022
rollout/ep_len_mean,1310720,1783861969.676444,911.5900269
rollout/ep_len_mean,1343488,1783861974.329475,858.5900269
rollout/ep_len_mean,1376256,1783861978.892410,863.1699829
rollout/ep_len_mean,1409024,1783861983.355430,869.2399902
rollout/ep_len_mean,1441792,1783861987.822213,890.4199829
rollout/ep_len_mean,1474560,1783861992.424663,867.039978
rollout/ep_len_mean,1507328,1783861997.051337,886.5700073
rollout/ep_len_mean,1540096,1783862001.700860,842.6599731
rollout/ep_len_mean,1572864,1783862006.386370,860.4199829
rollout/ep_len_mean,1605632,1783862010.982386,843.1799927
rollout/ep_len_mean,1638400,1783862015.631625,862.0999756
rollout/ep_len_mean,1671168,1783862020.246300,846.1500244
rollout/ep_len_mean,1703936,1783862024.849241,876.2800293
rollout/ep_len_mean,1736704,1783862029.417165,869.0900269
rollout/ep_len_mean,1769472,1783862033.931827,860.9500122
rollout/ep_len_mean,1802240,1783862038.574041,833.5
rollout/ep_len_mean,1835008,1783862043.117523,839.0999756
rollout/ep_len_mean,1867776,1783862047.754990,847.5
rollout/ep_len_mean,1900544,1783862052.638383,848.1300049
rollout/ep_len_mean,1933312,1783862057.231103,827.5100098
rollout/ep_len_mean,1966080,1783862061.799634,860.9199829
rollout/ep_len_mean,1998848,1783862066.346798,872.4000244
rollout/ep_len_mean,2031616,1783862070.933257,847.2800293
rollout/ep_len_mean,2064384,1783862075.463364,853.6799927
rollout/ep_len_mean,2097152,1783862080.084748,828.7000122
rollout/ep_len_mean,2129920,1783862084.632567,858.0599976
