tag,step,wall_time,value
rollout/ep_len_mean,32768,1783857059.425149,257.8299866
rollout/ep_len_mean,65536,1783857064.785643,276.6400146
rollout/ep_len_mean,98304,1783857069.726854,258.5599976
rollout/ep_len_mean,131072,1783857074.477056,310.5700073
rollout/ep_len_mean,163840,1783857079.686677,309.1600037
rollout/ep_len_mean,196608,1783857084.633441,357.6000061
rollout/ep_len_mean,229376,1783857089.485621,294.2999878
rollout/ep_len_mean,262144,1783857094.402379,423.8699951
rollout/ep_len_mean,294912,1783857099.309415,394.6799927
rollout/ep_len_mean,327680,1783857104.132736,459.25
rollout/ep_len_mean,360448,1783857108.928487,435.269989
rollout/ep_len_mean,393216,1783857113.752004,452.5899963
rollout/ep_len_mean,425984,1783857118.682892,506.1799927
rollout/ep_len_mean,458752,1783857123.447563,540.4199829
rollout/ep_len_mean,491520,1783857128.161133,472.2999878
rollout/ep_len_mean,524288,1783857132.992494,496.5499878
rollout/ep_len_mean,557056,1783857137.862254,452.5599976
rollout/ep_len_mean,589824,1783857142.783144,518.4899902
rollout/ep_len_mean,622592,1783857147.669864,545.5
rollout/ep_len_mean,655360,1783857152.629683,515.3800049
rollout/ep_len_mean,688128,1783857157.579970,546.210022
rollout/ep_len_mean,720896,1783857162.504886,612.1599731
rollout/ep_len_mean,753664,1783857167.410156,562.2999878
rollout/ep_len_mean,786432,1783857172.318496,524.789978
rollout/ep_len_mean,819200,1783857177.394878,512.1199951
rollout/ep_len_mean,851968,1783857182.358303,541.6699829
rollout/ep_len_mean,884736,1783857187.195153,589.0999756
rollout/ep_len_mean,917504,1783857192.005590,586.2399902
rollout/ep_len_mean,950272,1783857196.927843,586.3200073
rollout/ep_len_mean,983040,1783857201.893713,570.3499756
rollout/ep_len_mean,1015808,1783857206.574231,571.3599854
rollout/ep_len_mean,1048576,1783857211.308805,617.7299805
rollout/ep_len_mean,1081344,1783857215.981917,586.2299805
rollout/ep_len_mean,1114112,1783857220.900453,570.2600098
rollout/ep_len_mean,1146880,1783857225.960172,642.710022
rollout/ep_len_mean,1179648,1783857231.006855,582.9199829
rollout/ep_len_mean,1212416,1783857236.118547,542.9299927
rollout/ep_len_mean,1245184,1783857241.216558,551.289978
rollout/ep_len_mean,1277952,1783857246.156756,542.5599976
rollout/ep_len_mean,1310720,1783857250.718094,509.5299988
rollout/ep_len_mean,1343488,1783857255.437464,569.25
rollout/ep_len_mean,1376256,1783857260.076036,571.7600098
rollout/ep_len_mean,1409024,1783857264.592784,542.7999878
rollout/ep_len_mean,1441792,1783857269.094378,500.0100098
rollout/ep_len_mean,1474560,1783857273.644372,538.1500244
rollout/ep_len_mean,1507328,1783857278.501926,561.7399902
rollout/ep_len_mean,1540096,1783857283.027826,579.0499878
rollout/ep_len_mean,1572864,1783857287.561649,511.980011
rollout/ep_len_mean,1605632,1783857292.216848,559.210022
rollout/ep_len_mean,1638400,1783857297.014319,565.9000244
rollout/ep_len_mean,1671168,1783857301.569515,509.2799988
rollout/ep_len_mean,1703936,1783857306.128313,537.5100098
rollout/ep_len_mean,1736704,1783857310.624015,479.5
rollout/ep_len_mean,1769472,1783857315.437465,505.0100098
rollout/ep_len_mean,1802240,1783857320.015305,593
rollout/ep_len_mean,1835008,1783857324.663033,593.3300171
rollout/ep_len_mean,1867776,1783857329.379706,565.960022
rollout/ep_len_mean,1900544,1783857334.103551,619.0599976
rollout/ep_len_mean,1933312,1783857338.730841,605.1400146
rollout/ep_len_mean,1966080,1783857343.722776,558.1099854
rollout/ep_len_mean,1998848,1783857348.513244,553.4199829
rollout/ep_len_mean,2031616,1783857353.301498,529.1900024
rollout/ep_len_mean,2064384,1783857358.239276,523.5
rollout/ep_len_mean,2097152,1783857363.056129,498.5400085
rollout/ep_len_mean,2129920,1783857367.790683,524.0599976
rollout/ep_len_mean,2162688,1783857372.604017,489.3399963
rollout/ep_len_mean,2195456,1783857377.516858,514.5499878
rollout/ep_len_mean,2228224,1783857382.468347,514.0599976
rollout/ep_len_mean,2260992,1783857387.329082,595
rollout/ep_len_mean,2293760,1783857392.368344,589.2199707
rollout/ep_len_mean,2326528,1783857397.277009,611.6599731
rollout/ep_len_mean,2359296,1783857402.123737,573.0499878
rollout/ep_len_mean,2392064,1783857406.964256,531.1199951
rollout/ep_len_mean,2424832,1783857411.866555,529.8499756
rollout/ep_len_mean,2457600,1783857416.814865,552.4400024
rollout/ep_len_mean,2490368,1783857421.490635,572.8800049
rollout/ep_len_mean,2523136,1783857426.272621,533.7999878
rollout/ep_len_mean,2555904,1783857431.158571,561.1199951
rollout/ep_len_mean,2588672,1783857436.125462,536.1500244
rollout/ep_len_mean,2621440,1783857440.974813,537.039978
rollout/ep_len_mean,2654208,1783857445.786420,557.6799927
rollout/ep_len_mean,2686976,1783857450.774774,577.9699707
rollout/ep_len_mean,2719744,1783857455.631895,600.539978
rollout/ep_len_mean,2752512,1783857460.451083,615.8900146
rollout/ep_len_mean,2785280,1783857465.149844,588.4500122
rollout/ep_len_mean,2818048,1783857470.042634,580.5200195
rollout/ep_len_mean,2850816,1783857474.916297,579.5499878
rollout/ep_len_mean,2883584,1783857479.919360,565.4199829
rollout/ep_len_mean,2916352,1783857485.095427,556.6799927
rollout/ep_len_mean,2949120,1783857490.083384,492.3599854
rollout/ep_len_mean,2981888,1783857494.959324,544.2199707
rollout/ep_len_mean,3014656,1783857499.938976,546.9199829
rollout/ep_len_mean,3047424,1783857504.735655,586.9899902
rollout/ep_len_mean,3080192,1783857509.497615,519.3200073
rollout/ep_len_mean,3112960,1783857514.279308,512.6699829
rollout/ep_len_mean,3145728,1783857519.080605,596.1900024
rollout/ep_len_mean,3178496,1783857523.837711,661.3300171
rollout/ep_len_mean,3211264,1783857528.596651,638.960022
rollout/ep_len_mean,3244032,1783857533.211186,613.3499756
rollout/ep_len_mean,3276800,1783857538.113589,521.7700195
rollout/ep_len_mean,3309568,1783857542.998483,556.5800171
rollout/ep_len_mean,3342336,1783857547.769300,617.039978
rollout/ep_len_mean,3375104,1783857552.341321,545.8800049
rollout/ep_len_mean,3407872,1783857557.043385,489.0700073
rollout/ep_len_mean,3440640,1783857561.987486,588.460022
rollout/ep_len_mean,3473408,1783857566.719288,573.8300171
rollout/ep_len_mean,3506176,1783857571.450889,590.4299927
rollout/ep_len_mean,3538944,1783857576.311544,585.460022
rollout/ep_len_mean,3571712,1783857581.050494,522.0499878
rollout/ep_len_mean,3604480,1783857585.763792,518.5100098
rollout/ep_len_mean,3637248,1783857590.334916,597.1099854
rollout/ep_len_mean,3670016,1783857594.897817,593.210022
rollout/ep_len_mean,3702784,1783857599.544886,557.4099731
rollout/ep_len_mean,3735552,1783857604.191834,577.8300171
rollout/ep_len_mean,3768320,1783857608.797181,552.5100098
rollout/ep_len_mean,3801088,1783857613.383707,538.0100098
rollout/ep_len_mean,3833856,1783857618.062093,548.7399902
rollout/ep_len_mean,3866624,1783857622.966761,606.9799805
rollout/ep_len_mean,3899392,1783857627.927120,558.3099976
rollout/ep_len_mean,3932160,1783857632.685237,622.5499878
rollout/ep_len_mean,3964928,1783857637.356953,623.789978
rollout/ep_len_mean,3997696,1783857641.802433,515.5300293
rollout/ep_len_mean,4030464,1783857646.296637,599.9799805
rollout/ep_len_mean,4063232,1783857651.090940,616.6900024
rollout/ep_len_mean,4096000,1783857655.726305,671.289978
rollout/ep_len_mean,4128768,1783857660.462165,710.6099854
rollout/ep_len_mean,4161536,1783857665.453867,647.2600098
rollout/ep_len_mean,4194304,1783857670.410390,647.0999756
rollout/ep_len_mean,4227072,1783857675.171135,640.0200195
rollout/ep_len_mean,4259840,1783857679.966346,644.2600098
rollout/ep_len_mean,4292608,1783857684.746986,661.2800293
rollout/ep_len_mean,4325376,1783857689.502072,657.75
rollout/ep_len_mean,4358144,1783857694.252098,644.9500122
rollout/ep_len_mean,4390912,1783857699.013693,555.8599854
rollout/ep_len_mean,4423680,1783857703.767365,584.7800293
rollout/ep_len_mean,4456448,1783857708.508099,721.8800049
rollout/ep_len_mean,4489216,1783857713.231965,722.4799805
rollout/ep_len_mean,4521984,1783857718.049304,558.1900024
rollout/ep_len_mean,4554752,1783857722.906091,561.5100098
rollout/ep_len_mean,4587520,1783857727.678500,584.8300171
rollout/ep_len_mean,4620288,1783857732.427035,642.0599976
rollout/ep_len_mean,4653056,1783857737.169077,636.7000122
rollout/ep_len_mean,4685824,1783857742.002437,585.8900146
rollout/ep_len_mean,4718592,1783857746.981154,604.4199829
rollout/ep_len_mean,4751360,1783857751.951395,659.9299927
rollout/ep_len_mean,4784128,1783857756.860220,677.6699829
rollout/ep_len_mean,4816896,1783857761.942047,641.75
rollout/ep_len_mean,4849664,1783857766.833240,532.7299805
rollout/ep_len_mean,4882432,1783857771.754915,602.8699951
