tag,step,wall_time,value
rollout/ep_len_mean,32768,1786474685.163878,362.3648682
rollout/ep_len_mean,65536,1786474689.697476,477.9700012
rollout/ep_len_mean,98304,1786474694.208356,425.769989
rollout/ep_len_mean,131072,1786474698.725294,417.6300049
rollout/ep_len_mean,163840,1786474703.254409,406.1300049
rollout/ep_len_mean,196608,1786474707.782409,414.1300049
rollout/ep_len_mean,229376,1786474712.293565,417.6900024
rollout/ep_len_mean,262144,1786474716.807814,443.5599976
rollout/ep_len_mean,294912,1786474721.319578,406.6600037
rollout/ep_len_mean,327680,1786474725.822881,405.0299988
rollout/ep_len_mean,360448,1786474730.318503,392.7600098
rollout/ep_len_mean,393216,1786474734.829605,446.1499939
rollout/ep_len_mean,425984,1786474739.360741,372.9200134
rollout/ep_len_mean,458752,1786474743.874167,426.9500122
rollout/ep_len_mean,491520,1786474748.392878,432.3699951
rollout/ep_len_mean,524288,1786474752.892560,355.8200073
rollout/ep_len_mean,557056,1786474757.398058,371.1000061
rollout/ep_len_mean,589824,1786474761.900566,420.7200012
rollout/ep_len_mean,622592,1786474766.404964,363.5700073
rollout/ep_len_mean,655360,1786474770.914122,347.9400024
rollout/ep_len_mean,688128,1786474775.423602,374.6300049
rollout/ep_len_mean,720896,1786474779.921472,417.8900146
rollout/ep_len_mean,753664,1786474784.418770,363.5899963
rollout/ep_len_mean,786432,1786474788.910842,395.1300049
rollout/ep_len_mean,819200,1786474793.405155,393.5799866
rollout/ep_len_mean,851968,1786474797.896487,402.769989
rollout/ep_len_mean,884736,1786474802.391860,409.1099854
rollout/ep_len_mean,917504,1786474806.890511,339.3999939
rollout/ep_len_mean,950272,1786474811.386619,398.4500122
rollout/ep_len_mean,983040,1786474815.883763,347.1400146
rollout/ep_len_mean,1015808,1786474820.399866,381.4599915
rollout/ep_len_mean,1048576,1786474824.898015,351.4100037
rollout/ep_len_mean,1081344,1786474829.399042,375.9700012
rollout/ep_len_mean,1114112,1786474833.910453,375.6799927
rollout/ep_len_mean,1146880,1786474838.407491,329.4100037
rollout/ep_len_mean,1179648,1786474842.896291,389.3399963
rollout/ep_len_mean,1212416,1786474847.385652,404.8200073
rollout/ep_len_mean,1245184,1786474851.868191,433.3299866
rollout/ep_len_mean,1277952,1786474856.369011,357.5799866
rollout/ep_len_mean,1310720,1786474860.878621,388.5700073
rollout/ep_len_mean,1343488,1786474865.365940,407.3200073
rollout/ep_len_mean,1376256,1786474869.858998,375.8900146
rollout/ep_len_mean,1409024,1786474874.339673,425.9400024
rollout/ep_len_mean,1441792,1786474878.838008,395.9899902
rollout/ep_len_mean,1474560,1786474883.312764,367.3599854
rollout/ep_len_mean,1507328,1786474887.795838,479.75
rollout/ep_len_mean,1540096,1786474892.276844,430.2900085
rollout/ep_len_mean,1572864,1786474896.766288,374.1400146
rollout/ep_len_mean,1605632,1786474901.257277,337.2399902
rollout/ep_len_mean,1638400,1786474905.735480,391.4500122
rollout/ep_len_mean,1671168,1786474910.220944,442.1900024
rollout/ep_len_mean,1703936,1786474914.705753,397.5400085
rollout/ep_len_mean,1736704,1786474919.197354,427.3900146
rollout/ep_len_mean,1769472,1786474923.697646,485.8599854
rollout/ep_len_mean,1802240,1786474928.191454,367.3800049
rollout/ep_len_mean,1835008,1786474932.676169,422.2900085
rollout/ep_len_mean,1867776,1786474937.159741,460.7799988
rollout/ep_len_mean,1900544,1786474941.644889,409.0799866
rollout/ep_len_mean,1933312,1786474946.125655,390.730011
rollout/ep_len_mean,1966080,1786474950.613509,495.019989
rollout/ep_len_mean,1998848,1786474955.101189,450.5
rollout/ep_len_mean,2031616,1786474959.602510,359.480011
rollout/ep_len_mean,2064384,1786474964.097025,434.1400146
rollout/ep_len_mean,2097152,1786474968.576681,473.1900024
rollout/ep_len_mean,2129920,1786474973.050717,387.2399902
rollout/ep_len_mean,2162688,1786474977.534481,448.6900024
rollout/ep_len_mean,2195456,1786474982.007564,400.1400146
rollout/ep_len_mean,2228224,1786474986.495349,455.8399963
rollout/ep_len_mean,2260992,1786474990.974583,406.4200134
rollout/ep_len_mean,2293760,1786474995.445071,360.019989
rollout/ep_len_mean,2326528,1786474999.912260,424.5700073
rollout/ep_len_mean,2359296,1786475004.383114,396.4100037
rollout/ep_len_mean,2392064,1786475008.858632,428.7099915
rollout/ep_len_mean,2424832,1786475013.334805,354.230011
rollout/ep_len_mean,2457600,1786475017.822044,367.8599854
rollout/ep_len_mean,2490368,1786475022.308585,415.0499878
rollout/ep_len_mean,2523136,1786475026.789701,508.5299988
rollout/ep_len_mean,2555904,1786475031.268438,495.3800049
rollout/ep_len_mean,2588672,1786475035.754356,426.2799988
rollout/ep_len_mean,2621440,1786475040.231490,383.3299866
rollout/ep_len_mean,2654208,1786475044.720017,356.5700073
rollout/ep_len_mean,2686976,1786475049.202663,425.8299866
rollout/ep_len_mean,2719744,1786475053.673579,479.4400024
rollout/ep_len_mean,2752512,1786475058.184052,371.9599915
rollout/ep_len_mean,2785280,1786475062.657624,358.9200134
rollout/ep_len_mean,2818048,1786475067.129618,430.3399963
rollout/ep_len_mean,2850816,1786475071.596793,470.6600037
rollout/ep_len_mean,2883584,1786475076.081773,440.519989
rollout/ep_len_mean,2916352,1786475080.547581,427.3099976
rollout/ep_len_mean,2949120,1786475085.009411,402.0700073
rollout/ep_len_mean,2981888,1786475089.479883,441.9500122
rollout/ep_len_mean,3014656,1786475093.952378,442.269989
rollout/ep_len_mean,3047424,1786475098.425443,437.4700012
rollout/ep_len_mean,3080192,1786475102.898328,437.3200073
rollout/ep_len_mean,3112960,1786475107.382344,383.4599915
rollout/ep_len_mean,3145728,1786475111.858319,458.6700134
rollout/ep_len_mean,3178496,1786475116.360685,433.0299988
rollout/ep_len_mean,3211264,1786475120.895584,465.1300049
rollout/ep_len_mean,3244032,1786475125.373529,448.3299866
rollout/ep_len_mean,3276800,1786475129.851517,479.5799866
rollout/ep_len_mean,3309568,1786475134.339083,511.980011
rollout/ep_len_mean,3342336,1786475138.815248,449.1300049
rollout/ep_len_mean,3375104,1786475143.307226,466.6600037
rollout/ep_len_mean,3407872,1786475147.758273,444.5899963
rollout/ep_len_mean,3440640,1786475152.223705,432.1199951
rollout/ep_len_mean,3473408,1786475156.699265,453.4899902
rollout/ep_len_mean,3506176,1786475161.169995,471.7900085
rollout/ep_len_mean,3538944,1786475165.638482,484.0499878
rollout/ep_len_mean,3571712,1786475170.111081,502.6300049
rollout/ep_len_mean,3604480,1786475174.588698,453.7600098
rollout/ep_len_mean,3637248,1786475179.079049,476.7900085
rollout/ep_len_mean,3670016,1786475183.581422,489.4599915
rollout/ep_len_mean,3702784,1786475188.056562,481.1099854
rollout/ep_len_mean,3735552,1786475192.520262,462.25
rollout/ep_len_mean,3768320,1786475196.986563,437.9100037
rollout/ep_len_mean,3801088,1786475201.453443,496.8699951
rollout/ep_len_mean,3833856,1786475205.921136,489.8999939
rollout/ep_len_mean,3866624,1786475210.394684,463.7900085
rollout/ep_len_mean,3899392,1786475214.871707,413.8999939
rollout/ep_len_mean,3932160,1786475219.355073,492
rollout/ep_len_mean,3964928,1786475223.818607,512.4500122
rollout/ep_len_mean,3997696,1786475228.303172,522.0300293
rollout/ep_len_mean,4030464,1786475232.769019,412.8500061
rollout/ep_len_mean,4063232,1786475237.227741,429.9100037
rollout/ep_len_mean,4096000,1786475241.693924,497.2600098
rollout/ep_len_mean,4128768,1786475246.172737,530.2800293
rollout/ep_len_mean,4161536,1786475250.630080,531.2700195
rollout/ep_len_mean,4194304,1786475255.106457,483.0499878
rollout/ep_len_mean,4227072,1786475259.577422,435.019989
rollout/ep_len_mean,4259840,1786475264.049418,460.1099854
rollout/ep_len_mean,4292608,1786475268.512603,424.4700012
rollout/ep_len_mean,4325376,1786475272.967783,538.5
rollout/ep_len_mean,4358144,1786475277.435992,505.6400146
rollout/ep_len_mean,4390912,1786475281.902403,520.710022
rollout/ep_len_mean,4423680,1786475286.380553,465.8200073
rollout/ep_len_mean,4456448,1786475290.848857,429.7999878
rollout/ep_len_mean,4489216,1786475295.313371,447.269989
rollout/ep_len_mean,4521984,1786475299.776450,442.25
rollout/ep_len_mean,4554752,1786475304.238311,395.6600037
rollout/ep_len_mean,4587520,1786475308.749819,442.6400146
rollout/ep_len_mean,4620288,1786475313.227137,471.1499939
rollout/ep_len_mean,4653056,1786475317.706627,494.2099915
