tag,step,wall_time,value
rollout/ep_len_mean,32768,1786512496.107877,885.9714355
rollout/ep_len_mean,65536,1786512501.246923,880.8168945
rollout/ep_len_mean,98304,1786512506.370602,906.1099854
rollout/ep_len_mean,131072,1786512511.536639,909.4199829
rollout/ep_len_mean,163840,1786512516.693939,894.6300049
rollout/ep_len_mean,196608,1786512521.850050,899.789978
rollout/ep_len_mean,229376,1786512526.922042,884.710022
rollout/ep_len_mean,262144,1786512531.994910,883.5900269
rollout/ep_len_mean,294912,1786512537.144490,886.9799805
rollout/ep_len_mean,327680,1786512542.315321,876.6199951
rollout/ep_len_mean,360448,1786512547.430113,899.1699829
rollout/ep_len_mean,393216,1786512552.631406,900.2299805
rollout/ep_len_mean,425984,1786512557.794829,919.039978
rollout/ep_len_mean,458752,1786512562.991196,910.3599854
rollout/ep_len_mean,491520,1786512568.165931,901.6099854
rollout/ep_len_mean,524288,1786512573.366091,888.3099976
rollout/ep_len_mean,557056,1786512578.517000,883.3400269
rollout/ep_len_mean,589824,1786512583.689551,848.9699707
rollout/ep_len_mean,622592,1786512588.862661,874.2299805
rollout/ep_len_mean,655360,1786512594.067245,868.4299927
rollout/ep_len_mean,688128,1786512599.225494,896.7399902
rollout/ep_len_mean,720896,1786512604.415103,903.6799927
rollout/ep_len_mean,753664,1786512609.572546,909.0300293
rollout/ep_len_mean,786432,1786512614.760506,922.0800171
rollout/ep_len_mean,819200,1786512619.932813,911.0900269
rollout/ep_len_mean,851968,1786512625.116293,892.1199951
rollout/ep_len_mean,884736,1786512630.294776,879.1699829
rollout/ep_len_mean,917504,1786512635.473964,915.4000244
rollout/ep_len_mean,950272,1786512640.604008,901.289978
rollout/ep_len_mean,983040,1786512645.777673,914.4099731
rollout/ep_len_mean,1015808,1786512650.936457,890.5999756
rollout/ep_len_mean,1048576,1786512656.096235,891.7600098
rollout/ep_len_mean,1081344,1786512661.236932,873.1099854
rollout/ep_len_mean,1114112,1786512666.417468,886.5
rollout/ep_len_mean,1146880,1786512671.579310,872.9299927
rollout/ep_len_mean,1179648,1786512676.719648,859.6699829
rollout/ep_len_mean,1212416,1786512681.867995,869.1599731
rollout/ep_len_mean,1245184,1786512687.013467,916.8800049
rollout/ep_len_mean,1277952,1786512692.192400,922.9699707
rollout/ep_len_mean,1310720,1786512697.316646,895.1699829
rollout/ep_len_mean,1343488,1786512702.470272,841.5999756
rollout/ep_len_mean,1376256,1786512707.604700,862.2399902
rollout/ep_len_mean,1409024,1786512712.790916,905.4000244
rollout/ep_len_mean,1441792,1786512717.926826,906.3599854
rollout/ep_len_mean,1474560,1786512723.105977,913.1400146
rollout/ep_len_mean,1507328,1786512728.245404,918.4500122
rollout/ep_len_mean,1540096,1786512733.415400,928.1300049
rollout/ep_len_mean,1572864,1786512738.576321,920.4000244
rollout/ep_len_mean,1605632,1786512743.764723,925.9500122
rollout/ep_len_mean,1638400,1786512748.893883,904.960022
rollout/ep_len_mean,1671168,1786512754.099093,921.0599976
rollout/ep_len_mean,1703936,1786512759.233936,907.1900024
rollout/ep_len_mean,1736704,1786512764.403719,910.4899902
rollout/ep_len_mean,1769472,1786512769.528560,893.210022
rollout/ep_len_mean,1802240,1786512774.687355,903.710022
rollout/ep_len_mean,1835008,1786512779.806772,892.5999756
rollout/ep_len_mean,1867776,1786512784.964377,894.8099976
rollout/ep_len_mean,1900544,1786512790.082874,908.289978
rollout/ep_len_mean,1933312,1786512795.246272,915.5800171
rollout/ep_len_mean,1966080,1786512800.362600,913.5900269
rollout/ep_len_mean,1998848,1786512805.560407,909.1599731
rollout/ep_len_mean,2031616,1786512810.691163,901.3599854
rollout/ep_len_mean,2064384,1786512815.853644,886.6599731
rollout/ep_len_mean,2097152,1786512820.955343,898.5
rollout/ep_len_mean,2129920,1786512826.089305,898.7800293
rollout/ep_len_mean,2162688,1786512831.236074,891.5
rollout/ep_len_mean,2195456,1786512836.386051,912.3099976
rollout/ep_len_mean,2228224,1786512841.490963,904.3300171
rollout/ep_len_mean,2260992,1786512846.604815,892.7299805
rollout/ep_len_mean,2293760,1786512851.716310,887.0499878
rollout/ep_len_mean,2326528,1786512856.847552,894.9500122
rollout/ep_len_mean,2359296,1786512861.964409,898.0200195
rollout/ep_len_mean,2392064,1786512867.075595,882.5900269
rollout/ep_len_mean,2424832,1786512872.213218,864.0900269
rollout/ep_len_mean,2457600,1786512877.302378,878.3499756
rollout/ep_len_mean,2490368,1786512882.449397,871.9799805
rollout/ep_len_mean,2523136,1786512887.533153,914.7999878
rollout/ep_len_mean,2555904,1786512892.659658,881.289978
rollout/ep_len_mean,2588672,1786512897.747360,867.8800049
rollout/ep_len_mean,2621440,1786512902.886961,838.8800049
rollout/ep_len_mean,2654208,1786512908.004426,873.3099976
rollout/ep_len_mean,2686976,1786512913.149339,860.8699951
rollout/ep_len_mean,2719744,1786512918.250568,889.789978
rollout/ep_len_mean,2752512,1786512923.358392,874.5100098
rollout/ep_len_mean,2785280,1786512928.477689,853.1599731
rollout/ep_len_mean,2818048,1786512933.628646,833.6799927
rollout/ep_len_mean,2850816,1786512938.712495,845.460022
